ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Color,Airbags,Turbo engine,Left wheel
45654403,13328.0,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005 km,6,Automatic,4x4,4-5,Silver,12,False,True
44731507,16621.0,1018,CHEVROLET,Equinox,2011,Jeep,No,Petrol,3.0,192000 km,6,Tiptronic,4x4,4-5,Black,8,False,True
45774419,8467.0,-,HONDA,FIT,2006,Hatchback,No,Petrol,1.3,200000 km,4,Variator,Front,4-5,Black,2,False,False
45769185,3607.0,862,FORD,Escape,2011,Jeep,Yes,Hybrid,2.5,168966 km,4,Automatic,4x4,4-5,White,0,False,True
45809263,11726.0,446,HONDA,FIT,2014,Hatchback,Yes,Petrol,1.3,91901 km,4,Automatic,Front,4-5,Silver,4,False,True
45802912,39493.0,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,160931 km,4,Automatic,Front,4-5,White,4,False,True
45656768,1803.0,761,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,258909 km,4,Automatic,Front,4-5,White,12,False,True
45816158,549.0,751,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,216118 km,4,Automatic,Front,4-5,Grey,12,False,True
45641395,1098.0,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,398069 km,4,Automatic,Front,4-5,Black,12,False,True
45756839,26657.0,-,LEXUS,RX 350,2007,Jeep,Yes,Petrol,3.5,128500 km,6,Automatic,4x4,4-5,Silver,12,False,True
45621750,941.0,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,184467 km,6,Automatic,Rear,4-5,White,12,False,True
45814819,8781.0,-,FORD,Transit,1999,Microbus,No,CNG,4.0,0 km,8,Manual,Rear,2-3,Blue,0,False,True
45815568,3000.0,-,OPEL,Vectra,1997,Goods wagon,No,CNG,1.6,350000 km,4,Manual,Front,4-5,White,4,False,True
45661288,1019.0,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038 km,6,Automatic,Front,4-5,White,12,False,True
45732604,59464.0,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,76000 km,4,Automatic,Front,4-5,White,4,False,True
45465200,549.0,1079,TOYOTA,CHR,2018,Jeep,Yes,Petrol,2.0,74146 km,4,Automatic,Front,4-5,White,12,False,True
45772281,7683.0,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,121840 km,4,Automatic,Front,4-5,Blue,12,False,True
45797221,28382.0,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,54317 km,4,Automatic,Front,4-5,White,4,False,True
45772104,549.0,2386,HYUNDAI,Sonata,2006,Sedan,Yes,Petrol,3.3,295059 km,6,Automatic,Rear,4-5,Blue,12,False,True
45653306,941.0,1850,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.5,364523 km,6,Automatic,4x4,4-5,Black,12,False,True
45801686,18826.0,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112645 km,4,Automatic,Front,4-5,Silver,4,False,True
45168471,20698.0,586,TOYOTA,Prius,2012,Sedan,Yes,Plug-in Hybrid,1.8,187000 km,4,Automatic,Front,4-5,White,12,False,True
45751951,17562.0,1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,39709 km,4,Automatic,Front,4-5,Black,12,False,True
45814106,7840.0,-,FORD,Transit,2001,Microbus,No,Diesel,2.0,230000 km,4,Manual,Front,2-3,White,0,True,True
45813492,4704.0,-,OPEL,Vectra,1995,Sedan,No,Petrol,1.8,0 km,4,Automatic,Front,4-5,Green,4,False,True
45782859,20385.0,-,MERCEDES-BENZ,E 220,2006,Sedan,Yes,Diesel,2.2,210000 km,4,Tiptronic,Rear,4-5,Black,8,True,True
45759112,549.0,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,0 km,8,Automatic,4x4,4-5,White,0,False,True
45804684,30.0,-,TOYOTA,Prius,2008,Sedan,No,Hybrid,1.5,169000 km,4,Automatic,Front,4-5,White,8,False,True
45801525,14454.0,583,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,158787 km,4,Automatic,Front,4-5,Silver,4,False,True
45768550,12074.0,1537,TOYOTA,Highlander,2009,Jeep,Yes,Hybrid,3.3,420550 km,6,Automatic,4x4,4-5,Blue,12,False,True
44944581,15681.0,1288,MERCEDES-BENZ,Vito,2007,Goods wagon,No,Diesel,2.0,180000 km,6,Manual,Rear,4-5,White,4,True,True
45760983,19444.0,915,PORSCHE,Cayenne,2014,Jeep,Yes,Diesel,3.0,175056 km,6,Automatic,4x4,4-5,White,12,False,True
45790136,6899.0,-,BMW,X5,2000,Jeep,Yes,CNG,4.4,200000 km,8,Automatic,4x4,4-5,Silver,6,False,True
45770026,125.0,1750,TOYOTA,Highlander,2008,Sedan,Yes,Hybrid,3.3,287274 km,6,Automatic,4x4,4-5,White,12,False,True
45542380,24462.0,-,JEEP,Grand Cherokee,2007,Jeep,Yes,Diesel,3.0,250000 km,6,Tiptronic,4x4,4-5,Black,10,True,True
45732374,23235.0,707,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2.0,162000 km,4,Automatic,Front,4-5,Grey,4,False,True
45369569,51746.0,1077,TOYOTA,CHR Limited,2019,Jeep,No,Petrol,2.0,10200 km,4,Tiptronic,Front,4-5,Red,12,False,True
45642526,7527.0,1486,HONDA,FIT,2010,Hatchback,No,Hybrid,1.3,158000 km,4,Automatic,Front,4-5,Black,4,False,False
45801668,19121.0,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,103490 km,4,Automatic,Front,4-5,Silver,4,False,True
45661296,314.0,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,382746 km,6,Automatic,4x4,4-5,Silver,12,False,True
45815051,24462.0,751,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.4,203200 km,4,Automatic,Front,4-5,Blue,4,False,True
45797488,45734.0,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,61057 km,4,Automatic,Front,4-5,Black,4,False,True
45667253,20165.0,650,VOLKSWAGEN,Jetta,2016,Sedan,Yes,Petrol,1.4,11200 km,4,Tiptronic,Front,4-5,Black,8,True,True
45108412,21326.0,382,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,2.4,141000 km,4,Tiptronic,Front,4-5,White,12,False,True
45810322,549.0,1436,PORSCHE,Cayenne,2010,Jeep,Yes,Petrol,3.6,160259 km,6,Automatic,4x4,4-5,Silver,12,False,True
45769564,220.0,1194,TOYOTA,Tacoma,2013,Jeep,Yes,Petrol,4.0,239342 km,6,Automatic,4x4,4-5,Silver,12,False,True
45726453,15681.0,503,TOYOTA,Prius C,2012,Hatchback,No,Hybrid,1.5,128000 km,4,Variator,Front,4-5,Sky blue,8,False,True
45732544,55390.0,1017,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2.0,100734 km,4,Automatic,Front,4-5,Black,4,False,True
45811563,12544.0,-,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,1.5,141500 km,4,Automatic,Front,4-5,Black,8,False,False
45699930,17249.0,-,FORD,Escape Hybrid,2008,Jeep,No,Hybrid,2.3,147000 km,4,Variator,4x4,4-5,White,8,False,True
45809839,34889.0,891,HONDA,Civic,2016,Sedan,Yes,Petrol,2.0,87768 km,4,Automatic,Front,4-5,Blue,4,False,True
45767508,862.0,1104,AUDI,Q7,2015,Jeep,Yes,Petrol,3.0,264014 km,6,Automatic,4x4,4-5,Black,0,False,True
45802148,14583.0,-,RENAULT,Megane 1.5CDI,2008,Sedan,No,Diesel,1.5,132542 km,4,Manual,Front,4-5,White,10,True,True
45769316,392.0,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2.0,1600 km,4,Automatic,Rear,4-5,Black,12,False,True
44153312,38500.0,639,AUDI,Q5,2014,Jeep,Yes,Petrol,2.0,87000 km,1,Tiptronic,4x4,4-5,White,12,False,True
45782169,8781.0,-,MERCEDES-BENZ,C 180,2001,Coupe,No,Petrol,2.0,260000 km,4,Manual,Rear,2-3,Blue,0,False,True
44316016,87112.0,-,MERCEDES-BENZ,GLA 250,2019,Jeep,Yes,Petrol,2.0,5323 km,4,Tiptronic,4x4,4-5,Grey,0,True,True
45641216,1411.0,629,NISSAN,Juke,2015,Jeep,Yes,Petrol,1.6,87112 km,4,Automatic,4x4,4-5,Black,0,False,True
45813399,392.0,919,BMW,535,2012,Sedan,Yes,Petrol,3.0,204318 km,6,Automatic,Rear,4-5,Black,12,False,True
44679525,23521.0,781,CHEVROLET,Cruze LT,2018,Sedan,No,Petrol,1.4,22000 km,4,Automatic,Front,4-5,Red,6,True,True
45418626,16935.0,530,FORD,Fusion,2013,Sedan,No,Petrol,1.6,83000 km,4,Tiptronic,Front,4-5,Silver,8,True,True
45323316,10349.0,-,TOYOTA,VOXY,2007,Minivan,Yes,Petrol,2.4,170000 km,4,Automatic,Front,4-5,Black,6,False,False
45638910,7213.0,530,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,312118 km,4,Automatic,Front,4-5,Black,0,False,True
45778144,5331.0,-,MERCEDES-BENZ,A 160,2004,Sedan,No,Petrol,1.6,130000 km,4,Tiptronic,Front,4-5,Black,6,False,True
45803923,20526.0,640,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2.0,200279 km,4,Automatic,Front,4-5,Grey,4,False,True
45803550,9722.0,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2.0,719847 km,4,Automatic,Front,4-5,Orange,4,False,True
45802190,34657.0,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,154672 km,4,Automatic,Front,4-5,Silver,4,False,True
45802203,36564.0,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110969 km,4,Automatic,Front,4-5,Black,4,False,True
45648175,314.0,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,225510 km,4,Automatic,Front,4-5,White,12,False,True
45786421,5488.0,-,TOYOTA,Vitz,2001,Hatchback,No,Petrol,1.5,210000 km,4,Manual,Front,4-5,Sky blue,3,False,False
45802120,30063.0,934,HYUNDAI,H1,2015,Universal,Yes,Diesel,2.5,148105 km,4,Automatic,Front,4-5,Silver,4,False,True
45809414,15800.0,769,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,255456 km,4,Automatic,Front,4-5,Silver,4,False,True
45797480,43952.0,1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,111643 km,4,Automatic,Front,4-5,Grey,4,False,True
45732043,53154.0,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,84506 km,4,Automatic,Front,4-5,Silver,4,False,True
45816646,14740.0,645,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,288000 km,4,Automatic,Front,4-5,White,8,False,True
45624039,42337.0,-,FORD,Mustang,2016,Cabriolet,Yes,Petrol,2.3,75000 km,4,Tiptronic,Rear,2-3,Silver,6,True,True
